fila_excel;codigo_excel;codigo_normalizado;descripcion;grupo;marca;venta;costo;estado;motivo;producto_id;categoria_id;marca_id
2;77969118;77969118;BELDENT CHICLE SABOR FRUTILLA;CHICLES;BELDENT;5.5;3.8;OK;;1;1;21091
3;7773004010308;7773004010308;TE PARIS 100 UDS CON CANELA;INFUSIONES;TE PARIS;13;10.5;OK;;2;2;21092
4;7773004010322;7773004010322;TE PARIS  GOLD 100 UDS;INFUSIONES;TE PARIS;27;24;OK;;3;2;21092
5;7773004010742;7773004010742;TE VERDE 50 UDS;INFUSIONES;TE PARIS;26;23;OK;;4;2;21092
6;7771802000378;7771802000378;WINDSOR 100 UDS MIX;INFUSIONES;WINDSOR;34;31;OK;;5;2;21093
7;7771802000088;7771802000088;WINDSOR MATE DE COCA;INFUSIONES;WINDSOR;33;30;OK;;6;2;21093
8;7771802001078;7771802001078;WINDSOR TE CON CANELA 130 UDS;INFUSIONES;WINDSOR;35;32;OK;;7;2;21093
9;7771802000095;7771802000095;WINDSOR TE MANZANILLA 100 UDS;INFUSIONES;WINDSOR;32;29;OK;;8;2;21093
10;7771802000101;7771802000101;WINDSOR TRIMATE 100 UDS;INFUSIONES;WINDSOR;34;31;OK;;9;2;21093
11;7771802000880;7771802000880;WINDSOR CERON 100 UDS;INFUSIONES;WINDSOR;33;30;OK;;10;2;21093
12;7773004010643;7773004010643;TE PARIS MANZANILLA 100 UDS;INFUSIONES;TE PARIS;30;27.5;OK;;11;2;21092
13;7771802000132;7771802000132;WINDSOR MANZANILLA 50 UDS;INFUSIONES;WINDSOR;19;17;OK;;12;2;21093
14;7771802001023;7771802001023;WINDSOR TE VERDE 50 UDS;INFUSIONES;WINDSOR;29;26;OK;;13;2;21093
15;7773004010667;7773004010667;TE PARIS MANZANILLA 20 UDS;INFUSIONES;TE PARIS;7;5.5;OK;;14;2;21092
16;7773004010759;7773004010759;TE PARIS MATES MIX 20 UDS;INFUSIONES;TE PARIS;8;6;OK;;15;2;21092
17;7773004010698;7773004010698;TE PARIS MATE DE ANIS 20 UDS;INFUSIONES;TE PARIS;8;6;OK;;16;2;21092
18;7771802000361;7771802000361;WINDSOR FRUTAS MIX 50 UDS;INFUSIONES;WINDSOR;27;24;OK;;17;2;21093
19;7771802000217;7771802000217;WINDSOR TE CON CANELA 20 UDS;INFUSIONES;WINDSOR;7.5;5;OK;;18;2;21093
20;7773004010049;7773004010049;TE PARIS CON CANELA 20 UDS;INFUSIONES;TE PARIS;3;2.1;OK;;19;2;21092
21;7773004010056;7773004010056;TE PARIS CON LIMON 20 UDS;INFUSIONES;TE PARIS;3.5;2.1;OK;;20;2;21092
22;7771802000590;7771802000590;TE WINDSOR CANELA Y CLAVO 20 UDS;INFUSIONES;WINDSOR;7;5;OK;;21;2;21093
23;7771802000170;7771802000170;WINDSOR MATE DE MANZANILLA 20 UDS;INFUSIONES;WINDSOR;7.5;5.5;OK;;22;2;21093
24;7773004010933;7773004010933;MATE CAMBA MANZANILLA 20 UDS;INFUSIONES;CAMBA;3.5;2.5;OK;;23;2;21094
25;7840009650072;7840009650072;YERBA MATE COAMPESINO MENTA Y BOLDO 500G;INFUSIONES;CAMPESINO;25;0;OK;;24;2;21095
26;7840009040507;7840009040507;YERBA MATE CAMPESINO MENTA Y LIMON 500G;INFUSIONES;CAMPESINO;25;0;OK;;25;2;21095
27;7771802000248;7771802000248;TE CEYLAN CON CANELA 20 UDS;INFUSIONES;CEYLAN;3.5;2.2;OK;;26;2;21096
28;7772602003149;7772602003149;AVENA PARA PRE COCIDA 400 GR;AVENA;PRINCESA;15;13.2;OK;;27;3;21097
29;7772619003491;7772619003491;AVENA INST. CON CHIA 500 GR;AVENA;LA SUPREMA;16;12.8;OK;;28;3;21098
30;7772619001480;7772619001480;AVENA INST, 500 GR;AVENA;LA SUPREMA;15;12.5;OK;;29;3;21098
31;7772905004089;7772905004089;PIL LECHE INST. 760 GR;LECHE;PIL;73;68.3;OK;;30;4;21099
32;7771259754466;7771259754466;BONLE LECHE INST. 800 GR;LECHE;PIL;38;32.5;OK;;31;4;21099
33;7771259757429;7771259757429;PIL LECHE INST 2000 GR;LECHE;PIL;175;168.5;OK;;32;4;21099
34;7771259757962;7771259757962;BONLE LECHE INST 2000 GR;LECHE;PIL;95;77;OK;;33;4;21099
35;7896045113224;7896045113224;CAFÉ IGUACU 40 GR SACHET;CAFÉ;IGUACU;20;18;OK;;34;5;21100
36;7896019206785;7896019206785;CAFE IGUACU BOTE 200 GR;CAFÉ;IGUACU;75;60;OK;;35;5;21100
37;7771805000078;7771805000078;CAFÉ COPACABANA PARA DESTILAR 250GR;CAFÉ;COPACABANA;27;22.5;OK;;36;5;21101
38;7771805000061;7771805000061;CAFÉ COPACABANA PARA DESTILAR 500GR;CAFÉ;COPACABANA;50;46.5;OK;;37;5;21101
39;7771805000054;7771805000054;CAFÉ COPACABANA 1KG PARA DESTILAR;CAFÉ;COPACABANA;98;91.5;OK;;38;5;21101
40;7771805000092;7771805000092;CAFFE COPACABANA 50 GRA PARA DESTILAR;CAFÉ;COPACABANA;5.5;3.9;OK;;39;5;21101
41;7771805000146;7771805000146;CAFÉ COPACABANA INST. 50 GR;CAFÉ;COPACABANA;26;22.5;OK;;40;5;21101
42;7771817560096;7771817560096;CAFÉ GOURMET PARA DESTILAR 250 GR;CAFÉ;GOURMET;18;16;OK;;41;5;21102
43;7891000284193;7891000284193;NESCAFE BOTE TAPA NEGRA 160 GR;CAFÉ;NESCAFE;75;69;OK;;42;5;21103
44;7891000416266;7891000416266;NESCAFE SACHTS INST. 40 GR;CAFÉ;NESCAFE;18;15.2;OK;;43;5;21103
45;7702024069539;7702024069539;NESCAFE Y COPACABANA SACHTS INST. PERSONAL;CAFÉ;NESCAFE;2;0.9;OK;;44;5;21103
46;7770109590438;7770109590438;ESCENCIA DE VAINILLA 100 ML;ESCENCIA;CARAMELO;3.5;2.8;OK;;45;6;21104
47;7771214000300;7771214000300;LEVADURA SECA 20 GR;LEVADURA;KRISS;3.5;2.4;OK;;46;7;21105
48;7771214001758;7771214001758;POLVO PARA HORNEAR 57 GR;POLVO PARA HORNEAR;KRISS;5;3.9;OK;;47;8;21105
49;7771214004476;7771214004476;REFRESCO INST. DURAZNO REAL;INSTANTANEO;KRISS;0.75;0.47;OK;;48;9;21105
50;7771214004520;7771214004520;REFRESCO INST. NARANJA REAL;INSTANTANEO;KRISS;0.75;0.47;OK;;49;9;21105
51;7771214004452;7771214004452;REFRESCO INST. CEREZA  REAL;INSTANTANEO;KRISS;0.75;0.47;OK;;50;9;21105
52;7771214004469;7771214004469;REFRESCO INST. CHICHA MORADA REAL;INSTANTANEO;KRISS;0.75;0.47;OK;;51;9;21105
53;7771214004513;7771214004513;REFRESCO INST. CHICHA MORADA REAL;INSTANTANEO;KRISS;0.75;0.47;OMITIDO;ya existe un producto con ese nombre y esa marca;;;
54;7771214004537;7771214004537;REFRESCO INST. PIÑA REAL;INSTANTANEO;KRISS;0.75;0.47;OK;;52;9;21105
55;7771214004483;7771214004483;REFRESCO INST. FRAMBUESA REAL;INSTANTANEO;KRISS;0.75;0.47;OK;;53;9;21105
56;7503037746109;7503037746109;ZUKO DURAZNO REFRESCO INST. 13 GR;INSTANTANEO;ZUKO;3.5;2.3;OK;;54;9;21106
57;7802800726998;7802800726998;ZUKO MOCONCHINCHI REFRESCO INST. 13 GR;INSTANTANEO;ZUKO;3.5;2.3;OK;;55;9;21106
58;7503037746246;7503037746246;ZUKO NARANJA REFRESCO INST. 13 GR;INSTANTANEO;ZUKO;3.5;2.3;OK;;56;9;21106
59;7503037746239;7503037746239;ZUKO FRUTILLA  REFRESCO INST. 13 GR;INSTANTANEO;ZUKO;3.5;2.3;OK;;57;9;21106
60;7771718070342;7771718070342;CHOCOLIKE INST. 50 GR;INSTANTANEO;CHOCOLIKE;4;2.9;OK;;58;9;21107
61;7771718070038;7771718070038;CHOCOLIKE INST. 200 GR;INSTANTANEO;CHOCOLIKE;13;10.8;OK;;59;9;21107
62;7771718070076;7771718070076;CHOCOLIKE INST. 400 GR;INSTANTANEO;CHOCOLIKE;19;16.8;OK;;60;9;21107
63;7771718070021;7771718070021;CHOCOLIKE INST. 1000 GR;INSTANTANEO;CHOCOLIKE;42;36.2;OK;;61;9;21107
64;7771718070014;7771718070014;CHOCOLIKE INST. 2KG;INSTANTANEO;CHOCOLIKE;88;76;OK;;62;9;21107
65;7778608352090;7778608352090;CHOCOKIDS 200 GR;INSTANTANEO;MINOIL;10;8.8;OK;;63;9;21108
66;7778608352106;7778608352106;CHOCOKIDS 400 GR;INSTANTANEO;MINOIL;16;13.5;OK;;64;9;21108
